legis_names,clean_votes,law_unique,same_day
Samia Abbou,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Badreddine Abdelkefi,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Mohamed Abdellaoui,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Abir Abdelli,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Asma Abou Hana,absent,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Mohamed Anouar Adhar,absent,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Oussama Al Saghir,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Lotfi Ali,absent,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Aymen Aloui,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Souhail Alouini,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Nizar Amami,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Ahmed Ameri,excuse,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Hssan Amri,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Noura Amri,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Ammar Amroussia,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Mbarka AouaniaŒæ,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Jihen Aouichi,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Sahbi Atig,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Wafa Attia,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Chafik Ayadi,excuse,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Chaker Ayadi,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Fathi Ayadi,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Dalila Babba,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Kalthoum Badreddine,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Chakib Bani,absent,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Walid Banneni,absent,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Salah Bargaoui,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Tarek Barrak,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Taher Battikh,absent,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Souad Bayouli,pour,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
Mohamed Ali Bedoui,excuse,Projet de loi organique NŒÁ38/2017 relatif íæ l'instance de la bonne gouvernance et de la lutte contre la corruption Amendement du gouvernement relatif íæ l'article 8 2017-07-19,A
